week,cashflow
1/6/2019,112
1/13/2019,118
1/20/2019,132
1/27/2019,129
2/3/2019,121
2/10/2019,135
2/17/2019,148
2/24/2019,148
3/3/2019,136
3/10/2019,119
3/17/2019,104
3/24/2019,118
3/31/2019,115
4/7/2019,126
4/14/2019,141
4/21/2019,135
4/28/2019,125
5/5/2019,149
5/12/2019,170
5/19/2019,170
5/26/2019,158
6/2/2019,133
6/9/2019,114
6/16/2019,140
6/23/2019,145
6/30/2019,150
7/7/2019,178
7/14/2019,163
7/21/2019,172
7/28/2019,178
8/4/2019,199
8/11/2019,199
8/18/2019,184
8/25/2019,162
9/1/2019,146
9/8/2019,166
9/15/2019,171
9/22/2019,180
9/29/2019,193
10/6/2019,181
10/13/2019,183
10/20/2019,218
10/27/2019,230
11/3/2019,242
11/10/2019,209
11/17/2019,191
11/24/2019,172
12/1/2019,194
12/8/2019,196
12/15/2019,196
12/22/2019,236
12/29/2019,235
1/5/2020,229
1/12/2020,243
1/19/2020,264
1/26/2020,272
2/2/2020,237
2/9/2020,211
2/16/2020,180
2/23/2020,201
3/1/2020,204
3/8/2020,188
3/15/2020,235
3/22/2020,227
3/29/2020,234
4/5/2020,264
4/12/2020,302
4/19/2020,293
4/26/2020,259
5/3/2020,229
5/10/2020,203
5/17/2020,229
5/24/2020,242
5/31/2020,233
6/7/2020,267
6/14/2020,269
6/21/2020,270
6/28/2020,315
7/5/2020,364
7/12/2020,347
7/19/2020,312
7/26/2020,274
8/2/2020,237
8/9/2020,278
8/16/2020,284
8/23/2020,277
8/30/2020,317
9/6/2020,313
9/13/2020,318
9/20/2020,374
9/27/2020,413
10/4/2020,405
10/11/2020,355
10/18/2020,306
10/25/2020,271
11/1/2020,306
11/8/2020,315
11/15/2020,301
11/22/2020,356
11/29/2020,348
12/6/2020,355
12/13/2020,422
12/20/2020,465
12/27/2020,467
1/3/2021,404
1/10/2021,347
1/17/2021,305
1/24/2021,336
1/31/2021,340
2/7/2021,318
2/14/2021,362
2/21/2021,348
2/28/2021,363
3/7/2021,435
3/14/2021,491
3/21/2021,505
3/28/2021,404
4/4/2021,359
4/11/2021,310
4/18/2021,337
4/25/2021,360
5/2/2021,342
5/9/2021,406
5/16/2021,396
5/23/2021,420
5/30/2021,472
6/6/2021,548
6/13/2021,559
6/20/2021,463
6/27/2021,407
7/4/2021,362
7/11/2021,405
7/18/2021,417
7/25/2021,391
8/1/2021,419
