ds,cash_inflow,cash_outflow,employees,y
1/6/2019,3188,3076,104,112
1/13/2019,3722,3604,109,118
1/20/2019,2308,2176,70,132
1/27/2019,4683,4554,85,129
2/3/2019,2704,2583,156,121
2/10/2019,1259,1124,169,135
2/17/2019,3575,3427,77,148
2/24/2019,2914,2766,161,148
3/3/2019,1249,1113,186,136
3/10/2019,772,653,94,119
3/17/2019,2433,2329,87,104
3/24/2019,1790,1672,231,118
3/31/2019,3964,3849,214,115
4/7/2019,901,775,116,126
4/14/2019,4617,4476,236,141
4/21/2019,3537,3402,220,135
4/28/2019,4460,4335,156,125
5/5/2019,3882,3733,83,149
5/12/2019,3785,3615,101,170
5/19/2019,1772,1602,176,170
5/26/2019,4673,4515,174,158
6/2/2019,3886,3753,84,133
6/9/2019,4285,4171,89,114
6/16/2019,3777,3637,79,140
6/23/2019,3405,3260,168,145
6/30/2019,2094,1944,130,150
7/7/2019,1102,924,96,178
7/14/2019,2236,2073,206,163
7/21/2019,2064,1892,180,172
7/28/2019,3470,3292,154,178
8/4/2019,4945,4746,57,199
8/11/2019,1676,1477,137,199
8/18/2019,4287,4103,246,184
8/25/2019,4250,4088,150,162
9/1/2019,4101,3955,111,146
9/8/2019,1936,1770,198,166
9/15/2019,926,755,233,171
9/22/2019,3351,3171,71,180
9/29/2019,4812,4619,54,193
10/6/2019,3107,2926,236,181
10/13/2019,697,514,233,183
10/20/2019,700,482,59,218
10/27/2019,4497,4267,183,230
11/3/2019,4508,4266,213,242
11/10/2019,3227,3018,52,209
11/17/2019,629,438,96,191
11/24/2019,3234,3062,159,172
12/1/2019,2654,2460,67,194
12/8/2019,1023,827,93,196
12/15/2019,2336,2140,232,196
12/22/2019,2262,2026,72,236
12/29/2019,2472,2237,176,235
1/5/2020,1517,1288,194,229
1/12/2020,4996,4753,188,243
1/19/2020,4777,4513,246,264
1/26/2020,2438,2166,147,272
2/2/2020,4364,4127,235,237
2/9/2020,1270,1059,112,211
2/16/2020,1146,966,210,180
2/23/2020,2945,2744,97,201
3/1/2020,583,379,183,204
3/8/2020,656,468,51,188
3/15/2020,1601,1366,59,235
3/22/2020,590,363,175,227
3/29/2020,3146,2912,167,234
4/5/2020,3315,3051,135,264
4/12/2020,1144,842,128,302
4/19/2020,1461,1168,121,293
4/26/2020,4608,4349,67,259
5/3/2020,1514,1285,54,229
5/10/2020,4650,4447,236,203
5/17/2020,4517,4288,94,229
5/24/2020,2069,1827,178,242
5/31/2020,1021,788,142,233
6/7/2020,1718,1451,126,267
6/14/2020,557,288,53,269
6/21/2020,1941,1671,87,270
6/28/2020,2938,2623,196,315
7/5/2020,1732,1368,55,364
7/12/2020,3187,2840,96,347
7/19/2020,4011,3699,114,312
7/26/2020,3850,3576,125,274
8/2/2020,3243,3006,139,237
8/9/2020,4796,4518,75,278
8/16/2020,3168,2884,232,284
8/23/2020,2339,2062,93,277
8/30/2020,2962,2645,150,317
9/6/2020,3755,3442,189,313
9/13/2020,994,676,51,318
9/20/2020,542,168,167,374
9/27/2020,3115,2702,183,413
10/4/2020,1343,938,180,405
10/11/2020,1405,1050,82,355
10/18/2020,3117,2811,120,306
10/25/2020,2518,2247,186,271
11/1/2020,599,293,142,306
11/8/2020,3333,3018,170,315
11/15/2020,3838,3537,85,301
11/22/2020,2174,1818,117,356
11/29/2020,3847,3499,108,348
12/6/2020,1792,1437,244,355
12/13/2020,4821,4399,52,422
12/20/2020,3454,2989,103,465
12/27/2020,2333,1866,137,467
1/3/2021,556,152,82,404
1/10/2021,1291,944,184,347
1/17/2021,2363,2058,158,305
1/24/2021,2905,2569,101,336
1/31/2021,2799,2459,124,340
2/7/2021,4913,4595,205,318
2/14/2021,4265,3903,146,362
2/21/2021,1349,1001,85,348
2/28/2021,3575,3212,115,363
3/7/2021,4159,3724,105,435
3/14/2021,4808,4317,77,491
3/21/2021,4618,4113,59,505
3/28/2021,4106,3702,198,404
4/4/2021,4293,3934,85,359
4/11/2021,3412,3102,213,310
4/18/2021,4956,4619,164,337
4/25/2021,1424,1064,61,360
5/2/2021,594,252,180,342
5/9/2021,3970,3564,106,406
5/16/2021,1200,804,232,396
5/23/2021,4897,4477,247,420
5/30/2021,2196,1724,113,472
6/6/2021,3832,3284,147,548
6/13/2021,3852,3293,138,559
6/20/2021,3974,3511,119,463
6/27/2021,4103,3696,155,407
7/4/2021,4983,4621,161,362
7/11/2021,4597,4192,201,405
7/18/2021,2649,2232,163,417
7/25/2021,1596,1205,174,391
8/1/2021,4948,4529,219,419
